foodcategoryname,description
Tea & Snacks,Tea items
Burger,burger
Break Fast,BREAK FAST
Juice,JUICE
Sandwich,SANDWICH
Bread,BREAD
South Indian Dish,SOUTH INDIAN DISH
North Indian Dish Veg,NORTH INDIAN DISHES VEG
North Indian Non Veg,NORTH INDIAN DISHES NON VEG
Chinese Food,CHINESE FOOD
Noodles,NOODLES
Fried Rice,FRIED RICE
Veg Starters,VEG STARTERS
Non Veg Starters,NON VEG STARTERS
Combos,COMBOS
